"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1306","Test Case #2 | Login with the user valid login and the invalid password","","Wed Jan 29 17:50:03 EET 2025","passed","Wed Jan 29 17:50:04 EET 2025","","Login Page tests suite","",""
"","5017","Test Case #6 | Sorting products due to chosen filter: ""Price (low to high)""","","Wed Jan 29 17:49:58 EET 2025","passed","Wed Jan 29 17:50:03 EET 2025","","Inventory Page tests suite","",""
"","2458","Test Case #7 | Checking footer Facebook icon & link","","Wed Jan 29 17:50:22 EET 2025","passed","Wed Jan 29 17:50:24 EET 2025","","Inventory Page tests suite","",""
"","1400","Test Case #4 | Check that user can logout","","Wed Jan 29 17:50:05 EET 2025","passed","Wed Jan 29 17:50:06 EET 2025","","Login Page tests suite","",""
"","11333","Test Case #9 | Checkout without products","","Wed Jan 29 17:50:04 EET 2025","failed","Wed Jan 29 17:50:15 EET 2025","","Checkout Page tests suite","",""
"","5160","Test Case #5 | Saving cart contents after logout/login","","Wed Jan 29 17:49:58 EET 2025","passed","Wed Jan 29 17:50:04 EET 2025","","Cart Page tests suite","",""
"","1219","Test Case #6 | Sorting products due to chosen filter: ""Price (high to low)""","","Wed Jan 29 17:50:03 EET 2025","passed","Wed Jan 29 17:50:05 EET 2025","","Inventory Page tests suite","",""
"","887","Test Case #6 | Sorting products due to chosen filter: ""Name (A to Z)""","","Wed Jan 29 17:50:05 EET 2025","passed","Wed Jan 29 17:50:06 EET 2025","","Inventory Page tests suite","",""
"","2405","Test Case #7 | Checking footer LinkedIn icon & link","","Wed Jan 29 17:50:24 EET 2025","passed","Wed Jan 29 17:50:26 EET 2025","","Inventory Page tests suite","",""
"","15269","Test Case #7 | Checking footer Twitter icon & link","","Wed Jan 29 17:50:06 EET 2025","passed","Wed Jan 29 17:50:22 EET 2025","","Inventory Page tests suite","",""
"","5649","Test Case #8 | Valid checkout","","Wed Jan 29 17:49:58 EET 2025","passed","Wed Jan 29 17:50:04 EET 2025","","Checkout Page tests suite","",""
"","4105","Test Case #1 | Login with the user valid login and the valid password","","Wed Jan 29 17:49:58 EET 2025","passed","Wed Jan 29 17:50:03 EET 2025","","Login Page tests suite","",""
"","747","Test Case #3 | Login with the user invalid login and the valid password","","Wed Jan 29 17:50:04 EET 2025","passed","Wed Jan 29 17:50:05 EET 2025","","Login Page tests suite","",""
"","739","Test Case #6 | Sorting products due to chosen filter: ""Name (Z to A)""","","Wed Jan 29 17:50:06 EET 2025","passed","Wed Jan 29 17:50:06 EET 2025","","Inventory Page tests suite","",""
